POSTED DATE,DESCRIPTION,AMOUNT,CURRENCY,TRANSACTION REFERENCE NUMBER,FI TRANSACTION REFERENCE,TYPE,CREDIT/DEBIT,ORIGINAL AMOUNT
08/25/2025,WEB  DISCOVER         E-PAYMENT,-183.51,USD,,2025082500013,DDA Debit,Debit,
08/25/2025,FREDDY S 11 0005           HIGHLANDS RA   CO,-25.27,USD,,2025082500012,DDA Debit,Debit,
08/25/2025,XFINITY MOBILE             888 936 4968   PA,-66.24,USD,,2025082500011,DDA Debit,Debit,
08/25/2025,PANDA EXPRESS  3429 P      HIGHLANDS RA   CO,-51.45,USD,,2025082500010,DDA Debit,Debit,
08/25/2025,CIRCLE K   03290 411 W     DENVER         CO,-55.07,USD,,2025082500009,DDA Debit,Debit,
08/25/2025,REGATTA SLOANS LAKE        DENVER         CO,-9.65,USD,,2025082500008,DDA Debit,Debit,
08/25/2025,BURGER KING  12903 Q07     HGHLNDS RANC   CO,-12.56,USD,,2025082500007,DDA Debit,Debit,
08/25/2025,CO MOTOR VEHICLE SERVI     303 534 3468   CO,-270.57,USD,,2025082500006,DDA Debit,Debit,
08/25/2025,KEKES BREAKFAST CAFE       HIGHLANDS RA   CO,-77.52,USD,,2025082500005,DDA Debit,Debit,
08/25/2025,CUBA CUBA SANDWICHERIA     HIGHLANDS RA   CO,-35.18,USD,,2025082500004,DDA Debit,Debit,
08/25/2025,TACO BELL 036108           MONUMENT       CO,-16.65,USD,,2025082500003,DDA Debit,Debit,
08/25/2025,DD BR  355169 Q35          ENGLEWOOD      CO,-10.56,USD,,2025082500002,DDA Debit,Debit,
08/25/2025,PC TRANSFER DEBIT,-1500.00,USD,,2025082500001,DDA Debit,Debit,
08/22/2025,KING SOOP 2205 WILDCAT     HIGHLANDS RAN  CO,-43.99,USD,,2025082200006,DDA Debit,Debit,
08/22/2025,WENDY S  10501             HIGHLANDS RA   CO,-23.59,USD,,2025082200005,DDA Debit,Debit,
08/22/2025,SONIC DRIVE IN  3996       CASTLE ROCK    CO,-14.26,USD,,2025082200004,DDA Debit,Debit,
08/22/2025,MCDONALD S F18783          HIGHLANDS RA   CO,-11.74,USD,,2025082200003,DDA Debit,Debit,
08/22/2025,SAMSCLUB COM               888 746 7726   AR,-125.49,USD,,2025082200002,DDA Debit,Debit,
08/22/2025,PPD  Maximus          PAYROLL,3202.43,USD,,2025082200001,DDA Deposit,Credit,
08/21/2025,WEB  VENMO            PAYMENT,-24.00,USD,,2025082100004,DDA Debit,Debit,
08/21/2025,WAL MART  1252             HIGHLANDS RAN  CO,-45.76,USD,,2025082100003,DDA Debit,Debit,
08/21/2025,SXM SIRIUSXM COM ACCT      888 635 5144   NY,-7.85,USD,,2025082100002,DDA Debit,Debit,
08/21/2025,PC TRANSFER DEBIT,-1000.00,USD,,2025082100001,DDA Debit,Debit,
08/20/2025,SAMSCLUB  6634             LONE TREE      CO,-50.74,USD,,2025082000006,DDA Debit,Debit,
08/20/2025,CHIPOTLE 0755              HIGHLANDS RA   CO,-16.64,USD,,2025082000005,DDA Debit,Debit,
08/20/2025,SQ  LA TAPATIA TACOS L     COLORADO SPR   CO,-18.77,USD,,2025082000004,DDA Debit,Debit,
08/20/2025,CHICK FIL A  03336         ENGLEWOOD      CO,-20.72,USD,,2025082000003,DDA Debit,Debit,
08/20/2025,DDA DEPOSIT,1000.00,USD,,2025082000002,DDA Deposit,Credit,
08/19/2025,KING SOOP 5546 PROMENA     CASTLE ROCK    CO,-49.36,USD,,2025081900002,DDA Debit,Debit,
08/19/2025,WENDY S  10501             HIGHLANDS RAN  CO,-17.41,USD,,2025081900001,DDA Debit,Debit,
08/18/2025,WEB  Our Lady of Lour FACTS,-150.00,USD,,2025081800011,DDA Debit,Debit,
08/18/2025,WEB  Our Lady of Lour FACTS,-60.00,USD,,2025081800010,DDA Debit,Debit,
08/18/2025,PY  BLACK ROCK COFFEE      LITTLETON      CO,-16.07,USD,,2025081800009,DDA Debit,Debit,
08/18/2025,KING SOOP 2205 WILDCAT     HIGHLANDS RAN  CO,-47.52,USD,,2025081800008,DDA Debit,Debit,
08/18/2025,GALLO ITALIAN SUPPER C     ENGLEWOOD      CO,-33.25,USD,,2025081800007,DDA Debit,Debit,
08/18/2025,GALLO ITALIAN SUPPER C     ENGLEWOOD      CO,-85.23,USD,,2025081800006,DDA Debit,Debit,
08/18/2025,CHICK FIL A  03336         ENGLEWOOD      CO,-20.18,USD,,2025081800005,DDA Debit,Debit,
08/18/2025,KING SOOP 2205 WILDCAT     HIGHLANDS RAN  CO,-39.99,USD,,2025081800004,DDA Debit,Debit,
08/18/2025,RED ROBIN NO 211           HIGHLANDS RA   CO,-64.07,USD,,2025081800003,DDA Debit,Debit,
08/18/2025,CHICK FIL A  03183         LITTLETON      CO,-11.50,USD,,2025081800002,DDA Debit,Debit,
08/18/2025,EINSTEIN BROS BAGELS26     HIGHLANDS RA   CO,-11.20,USD,,2025081800001,DDA Debit,Debit,
08/15/2025,CHIPOTLE 0067              COLORADO SPR   CO,-20.13,USD,,2025081500003,DDA Debit,Debit,
08/15/2025,GELATO   CO   DENVER       HIGHLANDS RA   CO,-23.01,USD,,2025081500002,DDA Debit,Debit,
08/15/2025,TINY TOWN GATE             MORRISON       CO,-25.00,USD,,2025081500001,DDA Debit,Debit,
08/14/2025,KING SOOP 2215 W WILDC     HIGHLANDS RAN  CO,-52.66,USD,,2025081400005,DDA Debit,Debit,
08/14/2025,MCDONALD S F18083          HGHLNDS RANCH  CO,-21.60,USD,,2025081400004,DDA Debit,Debit,
08/14/2025,PY  BLACK ROCK COFFEE      LITTLETON      CO,-7.10,USD,,2025081400003,DDA Debit,Debit,
08/14/2025,TACO BELL 041775           HIGHLANDS RA   CO,-7.00,USD,,2025081400002,DDA Debit,Debit,
08/14/2025,SAMSCLUB COM               888 746 7726   AR,-159.91,USD,,2025081400001,DDA Debit,Debit,
08/13/2025,WEB  XCEL ENERGY-PSCO XCELENERGY,-195.36,USD,,2025081300004,DDA Debit,Debit,
08/13/2025,KING SOOP 5546 PROMENA     CASTLE ROCK    CO,-50.07,USD,,2025081300003,DDA Debit,Debit,
08/13/2025,KING SOOP 2205 WILDCAT     HIGHLANDS RAN  CO,-17.75,USD,,2025081300002,DDA Debit,Debit,
08/13/2025,SQ  LUMPIA HOUSE LLC       COLORADO SPR   CO,-18.39,USD,,2025081300001,DDA Debit,Debit,
08/12/2025,TEXAS ROADHOUSE  2170      LITTLETON      CO,-38.63,USD,,2025081200007,DDA Debit,Debit,
08/12/2025,PLAZA DELICATESSEN         COLORADO SPR   CO,-6.81,USD,,2025081200006,DDA Debit,Debit,
08/12/2025,AMAZON PRIME 2R5JY98T3     AMZN COM BIL   WA,-15.55,USD,,2025081200005,DDA Debit,Debit,
08/12/2025,ARMK COORS FIELD GENER     DENVER         CO,-8.64,USD,,2025081200004,DDA Debit,Debit,
08/12/2025,ARMK COORS FIELD GENER     DENVER         CO,-10.67,USD,,2025081200003,DDA Debit,Debit,
08/12/2025,ARMK COORS FIELD GENER     DENVER         CO,-24.95,USD,,2025081200002,DDA Debit,Debit,
08/12/2025,ARMK COORS FIELD GENER     DENVER         CO,-56.88,USD,,2025081200001,DDA Debit,Debit,
08/11/2025,WEB  PAYPAL           INST XFER,-20.91,USD,,2025081100018,DDA Debit,Debit,
08/11/2025,TARGET T  1265 SGT JON     HIGHLANDS RAN  CO,-46.19,USD,,2025081100017,DDA Debit,Debit,
08/11/2025,SP SAVANNAHBANANAS         SAVANNAH       GA,-84.00,USD,,2025081100016,DDA Debit,Debit,
08/11/2025,SQ  ALL AMERICAN PARKI     DENVER         CO,-50.00,USD,,2025081100015,DDA Debit,Debit,
08/11/2025,CHICK FIL A  03183         LITTLETON      CO,-25.71,USD,,2025081100014,DDA Debit,Debit,
08/11/2025,SOUTHPARK ARCTHRIFT        LITTLETON      CO,-31.61,USD,,2025081100013,DDA Debit,Debit,
08/11/2025,FSP EDUCATIONAL OUTFIT     HGHLNDS RANC   CO,-2.11,USD,,2025081100012,DDA Debit,Debit,
08/11/2025,DUNKIN  353280             LITTLETON      CO,-20.28,USD,,2025081100011,DDA Debit,Debit,
08/11/2025,ARMED SERVICES YMCA        WOODBRIDGE     VA,-20.00,USD,,2025081100010,DDA Debit,Debit,
08/11/2025,HIGHLANDS RANCH WATER      303 791 0361   CO,-511.53,USD,,2025081100009,DDA Debit,Debit,
08/11/2025,CHCO ONLINE MYCHART PR     AURORA         CO,-500.00,USD,,2025081100008,DDA Debit,Debit,
08/11/2025,PY  BLACK ROCK COFFEE      CASTLE ROCK    CO,-9.91,USD,,2025081100007,DDA Debit,Debit,
08/11/2025,ANDY S   LITTLETON         LITTLETON      CO,-8.52,USD,,2025081100006,DDA Debit,Debit,
08/11/2025,SQ  BELLA HEALTH AND W     ENGLEWOOD      CO,-25.93,USD,,2025081100005,DDA Debit,Debit,
08/11/2025,WALGREENS  4952            HIGHLANDS RA   CO,-15.22,USD,,2025081100004,DDA Debit,Debit,
08/11/2025,BURGER KING  12903 Q07     HGHLNDS RANC   CO,-41.00,USD,,2025081100003,DDA Debit,Debit,
08/11/2025,ZELLE TO LUKAS DE SOTO,-150.00,USD,,2025081100002,DDA Debit,Debit,
08/11/2025,9285 S BROADWAY AVE        HIGHLANDS RAN  CO,-100.00,USD,,2025081100001,DDA Debit,Debit,
08/08/2025,WEB  PAYPAL           INST XFER,-8.29,USD,,2025080800002,DDA Debit,Debit,
08/08/2025,PPD  Maximus          PAYROLL,3202.43,USD,,2025080800001,DDA Deposit,Credit,
08/07/2025,KING SOOP 2205 WILDCAT     HIGHLANDS RAN  CO,-63.13,USD,,2025080700006,DDA Debit,Debit,
08/07/2025,KING SOOP 5546 PROMENA     CASTLE ROCK    CO,-51.58,USD,,2025080700005,DDA Debit,Debit,
08/07/2025,HARVARDGULCHGOLFCOURSE     DENVER         CO,-10.00,USD,,2025080700004,DDA Debit,Debit,
08/07/2025,HARVARDGULCHGOLFCOURSE     DENVER         CO,-39.00,USD,,2025080700003,DDA Debit,Debit,
08/07/2025,ALVARADO S MEXICAN FAS     ENGLEWOOD      CO,-41.60,USD,,2025080700002,DDA Debit,Debit,
08/07/2025,BELLA NATURAL WOMENS C     ENGLEWOOD      CO,-30.00,USD,,2025080700001,DDA Debit,Debit,
08/06/2025,TROPICAL SMOOTHIE CAFE     HGHLNDS RANC   CO,-19.06,USD,,2025080600004,DDA Debit,Debit,
08/06/2025,HIGHLANDS RANCH COMMUN     HGHLNDS RANC   CO,-93.00,USD,,2025080600003,DDA Debit,Debit,
08/06/2025,SQ  LA TAPATIA TACOS L     PUEBLO         CO,-22.56,USD,,2025080600002,DDA Debit,Debit,
08/06/2025,PY  BLACK ROCK COFFEE      LITTLETON      CO,-7.43,USD,,2025080600001,DDA Debit,Debit,
08/05/2025,WEB  ALLSTATE INS CO  INS PREM,-479.40,USD,,2025080500006,DDA Debit,Debit,
08/05/2025,SAMSCLUB  6634             LONE TREE      CO,-8.48,USD,,2025080500005,DDA Debit,Debit,
08/05/2025,SAMSCLUB  6634             LONE TREE      CO,-195.46,USD,,2025080500004,DDA Debit,Debit,
08/05/2025,SAMSCLUB  6634             LONE TREE      CO,-4.45,USD,,2025080500003,DDA Debit,Debit,
08/05/2025,PLAZA DELICATESSEN         COLORADO SPR   CO,-9.20,USD,,2025080500002,DDA Debit,Debit,
08/05/2025,EDWARD S TOBACCO SHOP      ENGLEWOOD      CO,-64.36,USD,,2025080500001,DDA Debit,Debit,
08/04/2025,WEB  NEWREZ-SHELLPOIN WEB PMTS,-3583.95,USD,,2025080400016,DDA Debit,Debit,
08/04/2025,KING SOOP 2215 W WILDC     HIGHLANDS RAN  CO,-58.23,USD,,2025080400015,DDA Debit,Debit,
08/04/2025,KINDLE UNLTD 111SS3BN3     888 802 3080   WA,-12.44,USD,,2025080400014,DDA Debit,Debit,
08/04/2025,WALGREENS 9141 S BROAD     HIGHLANDS RAN  CO,-8.02,USD,,2025080400013,DDA Debit,Debit,
08/04/2025,WALGREENS  4952            HIGHLANDS RA   CO,-14.38,USD,,2025080400012,DDA Debit,Debit,
08/04/2025,ADOBE                      SAN JOSE       CA,-15.99,USD,,2025080400011,DDA Debit,Debit,
08/04/2025,MCDONALD S F18083          HGHLNDS RANCH  CO,-18.54,USD,,2025080400010,DDA Debit,Debit,
08/04/2025,OLIVE GARDEN ZK 002132     HIGHLANDS RA   CO,-61.31,USD,,2025080400009,DDA Debit,Debit,
08/04/2025,SQ  409   RATANA   PAR     LONE TREE      CO,-7.32,USD,,2025080400008,DDA Debit,Debit,
08/04/2025,BUILD A BEAR 1309          LONE TREE      CO,-40.85,USD,,2025080400007,DDA Debit,Debit,
08/04/2025,TROPICAL SMOOTHIE CAFE     HGHLNDS RANC   CO,-24.47,USD,,2025080400006,DDA Debit,Debit,
08/04/2025,LANSDOWNE ARMS             LITTLETON      CO,-38.22,USD,,2025080400005,DDA Debit,Debit,
08/04/2025,GOODWILL1038 COUNTY LI     LITTLETON      CO,-46.23,USD,,2025080400004,DDA Debit,Debit,
08/04/2025,PY  BLACK ROCK COFFEE      LITTLETON      CO,-11.51,USD,,2025080400003,DDA Debit,Debit,
08/04/2025,ALVARADO S MEXICAN FAS     ENGLEWOOD      CO,-41.60,USD,,2025080400002,DDA Debit,Debit,
08/04/2025,SSA   DENVER ZOO           DENVER         CO,-22.64,USD,,2025080400001,DDA Debit,Debit,
08/01/2025,CHIPOTLE MEX GR ONLINE     NEWPORT BEAC   CA,-19.58,USD,,2025080100008,DDA Debit,Debit,
08/01/2025,TARGET T  1265 SGT JON     HIGHLANDS RAN  CO,-47.23,USD,,2025080100007,DDA Debit,Debit,
08/01/2025,EPS FAMILY CARE CENTER     COLORADO SPR   CO,-25.00,USD,,2025080100006,DDA Debit,Debit,
08/01/2025,CHIPOTLE 0067              COLORADO SPR   CO,-12.39,USD,,2025080100005,DDA Debit,Debit,
08/01/2025,DENVER ZOO                 DENVER         CO,-4.00,USD,,2025080100004,DDA Debit,Debit,
08/01/2025,PC TRANSFER CREDIT,2300.00,USD,,2025080100003,DDA Credit,Credit,
08/01/2025,PPD  MONEYGRAM        REMITTANCE,500.00,USD,,2025080100002,DDA Deposit,Credit,
08/01/2025,PPD  VENMO            CASHOUT,30.00,USD,,2025080100001,DDA Deposit,Credit,
